ID,Location,Burned,Year,Distance,Bee.Richness,Bee.Abundance,Butterfly.Richness,Butterfly.Abundance
1,Five Points,0,2015,0,27,164,9,25
2,Five Points,0,2015,50,21,119,10,33
3,Five Points,0,2015,100,26,132,10,31
4,Five Points,0,2015,150,26,160,12,58
5,Five Points,0,2015,199.285,17,143,8,24
6,Five Points,0,2015,247.938,22,176,7,18
7,Five Points,0,2015,297.952,21,158,7,26
8,Five Points,0,2015,347.795,17,85,4,12
9,Five Points,0,2015,397.163,20,102,7,20
10,Five Points,0,2015,445.755,18,96,3,12
11,Five Points,0,2015,494.166,7,45,6,15
12,Five Points,1,2015,0,18,70,7,26
13,Five Points,1,2015,43.232,11,48,11,25
14,Five Points,1,2015,89.884,18,70,6,17
15,Five Points,1,2015,133.783,18,71,5,13
16,Five Points,1,2015,177.442,13,43,2,7
17,Five Points,1,2015,221.819,21,159,8,16
18,Five Points,1,2015,270.554,20,100,5,18
19,Five Points,1,2015,320.6,13,64,1,12
20,Five Points,1,2015,366.606,5,11,3,4
21,Five Points,1,2015,413.532,13,53,3,14
22,Five Points,1,2015,456.013,14,75,13,35
23,Natural Rock,0,2015,0,15,82,15,44
24,Natural Rock,0,2015,49.302,25,153,8,36
25,Natural Rock,0,2015,99.538,24,74,5,14
26,Natural Rock,0,2015,146.999,22,110,15,60
27,Natural Rock,0,2015,196.892,21,109,10,31
28,Natural Rock,0,2015,246.427,17,98,10,38
29,Natural Rock,0,2015,294.111,17,60,5,28
30,Natural Rock,0,2015,343.395,16,71,10,20
31,Natural Rock,0,2015,392.317,10,78,3,20
32,Natural Rock,0,2015,441.061,8,55,1,16
33,Natural Rock,0,2015,485.546,10,60,5,16
34,Natural Rock,1,2015,0,20,51,9,55
35,Natural Rock,1,2015,48.726,16,72,6,27
36,Natural Rock,1,2015,91.039,6,35,6,12
37,Natural Rock,1,2015,140.106,11,46,7,22
38,Natural Rock,1,2015,187.006,9,43,4,21
39,Natural Rock,1,2015,237.955,10,39,3,13
40,Natural Rock,1,2015,290.355,9,50,4,11
41,Natural Rock,1,2015,340.823,18,58,13,47
42,Natural Rock,1,2015,392.142,11,46,7,38
43,Natural Rock,1,2015,442.384,12,42,7,34
44,Natural Rock,1,2015,494.053,13,44,7,45
45,Caney Creek,0,2015,0,29,218,7,22
46,Caney Creek,0,2015,50,14,46,2,3
47,Caney Creek,0,2015,100,16,99,6,15
48,Caney Creek,0,2015,150,19,107,3,13
49,Caney Creek,0,2015,200,21,129,4,13
50,Caney Creek,0,2015,250,14,71,3,13
51,Caney Creek,0,2015,300,24,220,11,29
52,Caney Creek,0,2015,350,22,201,8,27
53,Caney Creek,0,2015,399.738,24,201,8,41
54,Caney Creek,0,2015,449.002,22,156,11,44
55,Caney Creek,0,2015,493.639,22,243,11,25
56,Caney Creek,1,2015,0,31,166,17,39
57,Caney Creek,1,2015,49.689,19,154,9,45
58,Caney Creek,1,2015,99.715,20,204,13,44
