Month,Site,Elevation,Temperature,Counts
1,1,480,34,5
1,2,571,42,1
1,3,837,48,1
1,4,680,38,1
1,5,728,34,2
1,6,528,39,5
1,7,634,40,5
1,8,485,36,4
1,9,737,38,4
1,10,678,51,4
2,1,480,57,2
2,2,571,56,3
2,3,837,38,6
2,4,680,53,4
2,5,728,45,1
2,6,528,47,4
2,7,634,47,7
2,8,485,46,2
2,9,737,46,3
2,10,678,58,1
3,1,480,64,5
3,2,571,60,5
3,3,837,58,3
3,4,680,64,4
3,5,728,53,6
3,6,528,53,2
3,7,634,63,2
3,8,485,46,1
3,9,737,58,6
3,10,678,50,2
4,1,480,71,2
4,2,571,65,5
4,3,837,53,4
4,4,680,69,5
4,5,728,56,1
4,6,528,54,1
4,7,634,73,4
4,8,485,64,1
4,9,737,57,3
4,10,678,57,1
5,1,480,80,2
5,2,571,63,2
5,3,837,74,2
5,4,680,81,4
5,5,728,81,0
5,6,528,79,1
5,7,634,80,1
5,8,485,80,6
5,9,737,72,6
5,10,678,80,5
6,1,480,70,5
6,2,571,73,2
6,3,837,81,4
6,4,680,88,2
6,5,728,81,0
6,6,528,76,4
6,7,634,78,3
6,8,485,80,1
6,9,737,82,2
6,10,678,71,2
7,1,480,88,1
7,2,571,84,3
7,3,837,89,6
7,4,680,72,2
7,5,728,89,1
7,6,528,78,2
7,7,634,88,5
7,8,485,73,1
7,9,737,71,2
7,10,678,86,0
8,1,480,89,4
8,2,571,79,1
8,3,837,88,7
8,4,680,82,4
8,5,728,76,2
8,6,528,76,3
8,7,634,79,1
8,8,485,77,2
8,9,737,88,7
8,10,678,69,4
9,1,480,79,1
9,2,571,75,3
9,3,837,79,3
9,4,680,71,6
9,5,728,80,4
9,6,528,81,4
9,7,634,72,0
9,8,485,68,2
9,9,737,74,2
9,10,678,68,1
10,1,480,52,2
10,2,571,51,1
10,3,837,70,7
10,4,680,74,3
10,5,728,53,3
10,6,528,53,3
10,7,634,55,1
10,8,485,73,4
10,9,737,67,2
10,10,678,51,7
11,1,480,63,3
11,2,571,52,3
11,3,837,44,3
11,4,680,63,3
11,5,728,51,3
11,6,528,57,3
11,7,634,44,2
11,8,485,59,6
11,9,737,51,1
11,10,678,51,0
12,1,480,54,2
12,2,571,56,8
12,3,837,55,0
12,4,680,55,3
12,5,728,44,4
12,6,528,38,4
12,7,634,55,2
12,8,485,51,4
12,9,737,46,1
12,10,678,41,7
