Life Stage,Replication,Sex,Gut Microbes
L1,1,M,21
L1,2,M,10
L1,3,M,15
L1,4,M,17
L1,5,M,6
L1,1,F,21
L1,2,F,20
L1,3,F,11
L1,4,F,8
L1,5,F,16
L2,1,M,36
L2,2,M,22
L2,3,M,18
L2,4,M,13
L2,5,M,27
L2,1,F,10
L2,2,F,15
L2,3,F,32
L2,4,F,26
L2,5,F,17
L3,1,M,28
L3,2,M,21
L3,3,M,25
L3,4,M,28
L3,5,M,41
L3,1,F,34
L3,2,F,37
L3,3,F,45
L3,4,F,11
L3,5,F,42
L4,1,M,64
L4,2,M,51
L4,3,M,53
L4,4,M,56
L4,5,M,59
L4,1,F,72
L4,2,F,47
L4,3,F,69
L4,4,F,68
L4,5,F,55
L5,1,M,51
L5,2,M,62
L5,3,M,71
L5,4,M,48
L5,5,M,65
L5,1,F,66
L5,2,F,44
L5,3,F,49
L5,4,F,53
L5,5,F,73
A,1,M,90
A,2,M,89
A,3,M,80
A,4,M,91
A,5,M,81
A,1,F,87
A,2,F,89
A,3,F,96
A,4,F,83
A,5,F,90
