Concentration,Latency
0.0125,7.082803215
0.0125,8.648718423
0.0125,3.334071522
0.0125,0.580455606
0.0125,0.349073389
0.0125,5.701846379
0.0125,4.778390949
0.0125,0.590877237
0.0125,1.518849374
0.0125,0.200957559
0.025,4.218920983
0.025,3.604483668
0.025,4.135347871
0.025,6.215347858
0.025,6.790793172
0.025,5.463228706
0.025,4.922311842
0.025,5.011830703
0.025,4.533782525
0.025,5.630228051
0.05,1.388308996
0.05,1.681650177
0.05,5.722597543
0.05,0.812902067
0.05,2.237085902
0.05,3.885643716
0.05,0.767356437
0.05,4.137412592
0.05,1.67960062
0.05,5.231383994
0.1,2.255883976
0.1,1.342603498
0.1,0.620109002
0.1,3.566297604
0.1,0.209715987
0.1,0.6799294
0.1,0.915437897
0.1,0.301343308
0.1,1.837172582
0.1,0.549224279
0.2,1.260229811
0.2,1.024530389
0.2,1.426890864
0.2,0.995617638
0.2,0.075836043
0.2,1.483870507
0.2,0.749565716
0.2,1.776285281
0.2,1.354026511
0.2,0.322161256
