Life Stage,Treatment,Body Weight
L1,Treated,0.266091522
L1,Treated,1.275127532
L1,Treated,1.425874335
L1,Treated,1.809537288
L1,Treated,0.573646015
L1,Treated,1.431545608
L1,Treated,0.067798755
L1,Treated,0.228841547
L1,Treated,1.590714025
L1,Treated,1.670990925
L1,Control,0.69363097
L1,Control,0.568384727
L1,Control,0.154552584
L1,Control,0.846331024
L1,Control,0.551534438
L1,Control,0.348124853
L1,Control,0.121269117
L1,Control,0.205590098
L1,Control,0.569261389
L1,Control,0.311014239
L2,Treated,0.981370648
L2,Treated,1.004350396
L2,Treated,0.290594842
L2,Treated,1.776578958
L2,Treated,1.714777433
L2,Treated,1.975664132
L2,Treated,1.120758285
L2,Treated,2.302662599
L2,Treated,2.437781228
L2,Treated,2.429085635
L2,Control,0.546188079
L2,Control,0.734400524
L2,Control,0.612818126
L2,Control,0.532126284
L2,Control,0.117259461
L2,Control,0.42510324
L2,Control,0.129573343
L2,Control,0.283659415
L2,Control,0.954421232
L2,Control,0.411886212
L3,Treated,2.864884136
L3,Treated,1.563343794
L3,Treated,1.554360022
L3,Treated,2.818729049
L3,Treated,1.73339134
L3,Treated,3.18601294
L3,Treated,1.340549998
L3,Treated,3.81950712
L3,Treated,1.675998493
L3,Treated,3.55866155
L3,Control,0.320484375
L3,Control,0.283361679
L3,Control,0.753994101
L3,Control,0.350181578
L3,Control,0.298907316
L3,Control,0.370124759
L3,Control,0.449046574
L3,Control,0.595060348
L3,Control,0.580570111
L3,Control,0.192602716
L4,Treated,4.329603687
L4,Treated,1.652959236
L4,Treated,1.467556508
L4,Treated,0.619101065
L4,Treated,4.485867343
L4,Treated,4.741540771
L4,Treated,0.330366922
L4,Treated,2.994782483
L4,Treated,0.497191778
L4,Treated,5.541112767
L4,Control,1.004183173
L4,Control,0.293704659
L4,Control,1.503696326
L4,Control,0.992201406
L4,Control,0.30884886
L4,Control,1.250042301
L4,Control,1.160610245
L4,Control,0.115014082
L4,Control,0.145735155
L4,Control,1.373532076
L5,Treated,1.858363356
L5,Treated,4.922311519
L5,Treated,0.082300725
L5,Treated,6.871536815
L5,Treated,8.142399556
L5,Treated,3.283061816
L5,Treated,6.719248484
L5,Treated,2.088616129
L5,Treated,4.557683808
L5,Treated,8.220853548
L5,Control,1.658179342
L5,Control,0.301810897
L5,Control,1.986777938
L5,Control,1.158481418
L5,Control,0.534073844
L5,Control,1.839480126
L5,Control,1.924423521
L5,Control,1.332775203
L5,Control,0.898357748
L5,Control,1.512567997
Adult,Treated,8.746878568
Adult,Treated,12.84121713
Adult,Treated,7.31301854
Adult,Treated,8.088773143
Adult,Treated,13.86570248
Adult,Treated,10.2655475
Adult,Treated,1.191900546
Adult,Treated,14.08018303
Adult,Treated,12.35766338
Adult,Treated,9.326306951
Adult,Control,1.477482371
Adult,Control,3.536627732
Adult,Control,3.822932267
Adult,Control,3.184347874
Adult,Control,1.421263105
Adult,Control,2.93275797
Adult,Control,3.847397133
Adult,Control,1.922879972
Adult,Control,1.347777703
Adult,Control,1.06748425
