Garden,Monarchs
A,2
A,0
A,2
A,0
A,0
A,1
A,1
A,0
A,2
A,0
A,0
A,2
A,2
A,3
A,1
A,2
A,1
A,0
A,1
A,3
A,2
A,2
A,0
A,1
A,1
A,0
A,0
A,0
A,1
A,0
A,0
A,1
A,0
A,2
A,2
A,0
A,0
A,0
A,0
A,1
A,0
A,0
A,0
A,4
A,3
A,0
A,1
A,1
A,1
A,0
B,3
B,5
B,0
B,5
B,7
B,4
B,7
B,4
B,4
B,8
B,4
B,6
B,6
B,6
B,1
B,4
B,5
B,4
B,3
B,2
B,4
B,2
B,2
B,9
B,5
B,2
B,8
B,5
B,5
B,1
B,6
B,3
B,5
B,4
B,6
B,1
B,5
B,4
B,5
B,4
B,6
B,3
B,8
B,3
B,2
B,1
B,3
B,7
B,2
B,6
C,13
C,4
C,11
C,12
C,13
C,13
C,9
C,8
C,10
C,12
C,8
C,8
C,14
C,10
C,13
C,10
C,11
C,10
C,7
C,8
C,11
C,8
C,9
C,8
C,5
C,4
C,9
C,12
C,9
C,13
C,11
C,6
C,9
C,14
C,7
C,14
C,3
C,13
C,5
C,4
C,11
C,12
C,13
C,12
C,11
C,3
C,9
C,10
C,16
C,6
