Event,Duration,Temperature,Habitat Quality
0,1,5.222,Good
0,1,7.205,Good
0,1,9.322,Good
0,1,12.515,Good
1,2,15.353,Good
0,2,15.470,Good
0,2,15.482,Good
0,2,15.642,Good
0,3,16.178,Good
1,3,16.345,Good
0,3,16.602,Good
0,3,16.604,Good
1,4,17.381,Good
0,4,17.887,Good
1,4,18.042,Good
0,4,18.561,Good
1,5,18.881,Good
1,5,18.953,Good
1,5,20.818,Good
1,5,32.533,Good
0,1,17.57692422,Poor
0,1,13.38258476,Poor
0,1,16.42216153,Poor
0,1,16.71123305,Poor
1,2,18.84363433,Poor
0,2,19.48329332,Poor
1,2,19.95735038,Poor
0,2,20.22517384,Poor
1,3,21.03373736,Poor
0,3,21.45440708,Poor
1,3,21.4999614,Poor
1,3,21.87251885,Poor
0,4,22.07639346,Poor
1,4,22.6889893,Poor
0,4,23.94016979,Poor
1,4,23.97312192,Poor
1,5,24.79948312,Poor
1,5,24.83415761,Poor
1,5,25.07475306,Poor
1,5,26.29606802,Poor
