Body Size,Treatment,Species A,Species B,Species C,Species D,Species E,Species F,Species G,Species H,Species I,Species J,Species K,Species L,Species M
20.0093678,Low,3,3,4,12,0,0,1,5,1,2,21,0,0
23.55613565,Medium,1,3,0,3,0,0,5,0,2,3,26,0,0
16.49490974,High,0,2,3,16,1,0,0,2,3,2,17,0,0
5.49646989,Control,2,3,4,8,0,1,4,2,1,3,24,0,0
20.1069111,Low,0,0,2,5,0,0,1,7,0,0,20,1,0
23.70449698,Medium,0,0,2,8,1,0,4,2,3,1,16,1,0
16.49539859,High,2,3,2,11,1,1,1,3,0,2,25,1,1
7.322735251,Control,2,6,5,7,0,0,3,4,1,0,26,0,0
20.16201511,Low,1,2,3,11,1,0,1,2,4,2,18,1,0
23.73476041,Medium,0,3,1,7,1,0,4,1,0,2,23,1,0
16.50809741,High,0,5,1,5,0,0,3,3,2,3,22,2,0
8.121726346,Control,2,0,0,10,0,0,3,3,1,1,22,1,0
20.1635442,Low,1,5,3,11,0,0,2,3,1,2,23,0,0
23.82536882,Medium,0,5,3,12,1,0,4,5,0,3,20,2,0
16.58625711,High,1,3,3,10,0,0,4,2,1,4,16,1,0
9.175557857,Control,0,2,1,11,1,0,1,1,0,2,22,0,0
20.19492745,Low,1,1,1,9,0,0,3,1,0,3,25,0,0
23.87527734,Medium,0,0,2,4,1,0,2,4,0,1,8,2,0
16.62959453,High,1,4,1,14,0,0,3,1,2,1,23,4,0
9.679236023,Control,0,2,5,11,0,1,1,4,0,0,23,1,0
20.24240308,Low,2,4,2,8,0,0,2,3,0,6,20,1,0
23.88561148,Medium,1,2,4,6,0,0,5,5,1,1,12,0,0
16.68888222,High,2,0,4,6,1,0,4,5,2,2,23,0,0
10.10665306,Control,2,2,3,11,0,0,5,2,1,5,24,1,0
20.27649207,Low,3,3,2,10,0,0,1,3,3,1,16,1,0
23.93755499,Medium,0,2,2,14,1,0,2,5,0,3,24,1,0
16.79577058,High,1,0,2,5,1,0,3,4,1,0,14,0,0
10.3270691,Control,0,2,1,10,1,0,2,4,2,1,19,0,0
20.41605972,Low,2,0,3,14,1,0,3,3,0,2,23,1,0
24.13410817,Medium,0,0,6,9,0,0,4,3,0,2,19,2,0
16.86637011,High,1,2,4,10,1,0,4,0,2,1,20,2,0
10.57122295,Control,0,2,3,17,0,0,3,0,1,1,13,0,0
20.44408353,Low,4,0,1,9,0,0,2,0,0,4,20,0,0
24.16108605,Medium,0,2,3,11,0,0,9,0,0,3,25,1,1
16.88171783,High,0,1,1,11,0,0,3,6,2,0,26,2,0
10.86264779,Control,2,3,4,8,1,0,1,5,1,2,24,1,0
20.50902145,Low,0,3,3,9,1,0,6,9,1,2,19,1,0
24.43335466,Medium,1,2,3,14,0,0,2,4,0,1,20,1,0
16.97043336,High,0,3,3,8,1,1,1,1,1,3,20,1,0
10.91696736,Control,1,2,5,8,0,0,4,0,0,3,17,0,0
20.65574568,Low,2,2,2,11,2,0,2,0,1,2,20,1,0
24.52419044,Medium,3,1,4,9,0,1,3,3,3,0,17,0,0
17.01946081,High,0,1,3,14,1,0,6,1,1,2,31,1,0
11.07376425,Control,1,3,5,15,1,0,4,2,1,1,18,0,0
20.67735755,Low,0,1,4,14,0,0,3,2,0,2,16,2,0
24.57163196,Medium,1,0,2,10,0,0,10,1,0,1,14,2,0
