Immigration,pH,Feeding Guild
0,5.81,Herbivores
0,5.86,Herbivores
0,6.02,Herbivores
0,6.03,Herbivores
0,6.04,Herbivores
0,6.12,Herbivores
1,6.13,Herbivores
0,6.23,Herbivores
0,6.23,Herbivores
0,6.24,Herbivores
0,6.26,Herbivores
1,6.30,Herbivores
0,6.30,Herbivores
0,6.39,Herbivores
1,6.40,Herbivores
1,6.44,Herbivores
0,6.44,Herbivores
1,6.45,Herbivores
0,6.49,Herbivores
0,6.51,Herbivores
1,6.53,Herbivores
0,6.55,Herbivores
1,6.57,Herbivores
0,6.61,Herbivores
0,6.62,Herbivores
1,6.69,Herbivores
0,6.75,Herbivores
0,6.76,Herbivores
1,6.78,Herbivores
1,6.79,Herbivores
0,6.85,Carnivores 
0,6.90,Carnivores 
0,6.92,Carnivores 
0,6.93,Carnivores 
0,6.96,Carnivores 
0,7.00,Carnivores 
0,7.07,Carnivores 
0,7.10,Carnivores 
1,7.13,Carnivores 
0,7.14,Carnivores 
1,7.15,Carnivores 
0,7.21,Carnivores 
1,7.22,Carnivores 
0,7.22,Carnivores 
1,7.22,Carnivores 
1,7.23,Carnivores 
1,7.26,Carnivores 
0,7.26,Carnivores 
1,7.29,Carnivores 
0,7.38,Carnivores 
1,7.47,Carnivores 
0,7.49,Carnivores 
1,7.51,Carnivores 
0,7.58,Carnivores 
1,7.63,Carnivores 
1,7.66,Carnivores 
1,7.68,Carnivores 
1,7.74,Carnivores 
1,7.77,Carnivores 
1,7.78,Carnivores 
