Dead,Concentration
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,60
0,60
0,60
0,60
0,60
0,60
1,60
1,60
0,60
1,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
0,60
1,60
0,60
0,60
0,60
0,60
1,600
0,600
0,600
1,600
1,600
1,600
0,600
0,600
1,600
1,600
1,600
1,600
1,600
1,600
0,600
0,600
0,600
1,600
0,600
0,600
0,600
0,600
0,600
0,600
0,600
0,600
0,6000
0,6000
0,6000
0,6000
1,6000
1,6000
1,6000
1,6000
1,6000
0,6000
0,6000
1,6000
1,6000
1,6000
1,6000
1,6000
1,6000
1,6000
0,6000
1,6000
1,6000
0,6000
1,6000
1,6000
0,6000
1,6000
1,6000
